notation	description
ZC 76600	Windschutzstreifen
ZC 76800 - ZC 76810	Holzernte/Holzeinschlag
ZC 77200 - ZC 77400	Rohholz
ZC 77800 - ZC 77860	Forsttechnik
ZC 78000	Forstschutz, Phytopathologie
ZC 78200 - ZC 78250	Natürliche schädigende Einflüsse
ZC 78400 - ZC 78440	Waldbrand/Feuer
ZC 78600 - ZC 78660	Anthropogene schädigende Einflüsse
ZC 78800 - ZC 79040	Forstschädlinge
ZC 79100	Komplexe Ursachen von Forstschäden
ZC 79400	Sonstige Baumkrankheiten
ZC 79500 - ZC 79580	Forstschutzmaßnahmen
ZC 80200	Geodäsie
ZC 80400	Kartierung (außer Standortskartierung)
ZC 80600 - ZC 80660	Bauwesen
ZC 81000 - ZC 81715	Forstnutzung, Holzprodukte, Forstverwertung
ZC 81800 - ZC 81825	Holzschutz (am gelagerten/verbauten Holz)
ZC 82000 - ZC 83200	Forstliche Nebenerzeugnisse
ZC 84000 - ZC 84250	Forsteinrichtung
ZC 84800 - ZC 84900	Waldbewertung
ZC 85000 - ZC 85500	Forstökonomie
ZC 85600 - ZC 85760	Forstpolitik einzelner Länder/Gebiete
ZC 85790 - ZC 85900	Forstgeschichte
ZC 86200	Forstbesitz
ZC 86400	Forstrecht
ZC 86500	Versicherungswesen
ZC 86800 - ZC 87100	Produkte, Preise, Handel
ZC 87200	Zoll
ZC 87400 - ZC 87480	Forstverwaltung
ZC 87600	Finanzwirtschaft
ZC 87800 - ZC 87899	Statistik/Berichte / Forstberichte/Waldschadensberichte
ZC 88000 - ZC 88020	Holzmesskunde
ZC 88100 - ZC 88145	Waldwachstumskunde
ZC 88160	Jahrringuntersuchungen
ZC 88162	Dendrochronologie
ZC 88170 - ZC 88180	Biometrie
ZC 88190 - ZC 88199	Forstliche Modelle
ZC 88210	Landeskulturelle Leistungen des Waldes
ZC 88220	Wald und Naturschutz
ZC 88230	Wald und Erholung (Tourismus)
ZC 88240	Wald in der Kunst (Bildbände etc.)
ZC 88245	Walderzählungen / Populärwissenschaftliche Literatur
ZC 88250 - ZC 88275	Aus- und Weiterbildung
ZC 88278	Forstvereine
ZC 88279	Andere forstliche Gremien (Bund der Forstleute, Waldbesitzerverband)
ZC 88280	Berufsbilder
ZC 88290	Arbeitsmarkt
ZC 88500 - ZC 88510	Verflechtung mit anderen Fachdisziplinen
ZC 88600 - ZC 88699	Forstliche Forschungs- und Förderprogramme
ZC 90000 - ZC 93940	Jagd
ZC 90000	Jagdwesen - Allgemeines
ZC 90010	Bibliografien des Jagdwesens
ZC 90020	Biografien bedeutender Persönlichkeiten
ZC 90030	Festschriften für Institutionen
ZC 90900	Kongresse, Kongressberichte, Symposien
ZC 90910	Gesamtdarstellungen, Nachschlagewerke
ZC 90920	Adressbücher, Verzeichnisse
ZC 91000	Jagd, Hege
ZC 91100 - ZC 91160	Jagdarten
ZC 91200	Jagdgeschichte
ZC 91230	Jagdgebiete
ZC 91260	Jagderzählungen/Bildbände
ZC 91300	Ausbildung/Jägerprüfung
ZC 91305	Jagdliches Schießen
ZC 91350	Jagdverbände und Organisationen
ZC 91400	Jäger, Jägerleben
ZC 91500	Jagdliches Brauchtum
ZC 91530	Weidmannssprache
ZC 91560	Jagdsignale
ZC 91600 - ZC 91660	Jagdhunde - ihre Haltung, Ausbildung und Verwendung
ZC 91800 - ZC 91870	Ausrüstung
ZC 91900	Jagdliche Einrichtungen
ZC 92200 - ZC 92500	Wild, Wildkunde und Bejagung
ZC 92550	Genetik jagdbarer Tiere
ZC 92600	Lebensbedingungen des Wildes
ZC 92650	Bestandsermittlung, Wildzählung
ZC 92700	Wildschäden in Land- und Forstwirtschaft
ZC 93000	Wildkrankheiten
ZC 93400	Wildtiere in Gefangenschaft/Wildgehege
ZC 93800 - ZC 93860	Behandlung erlegter Tiere
ZC 93900	Jagdrecht
ZC 93920	Jagd und Ethik
ZC 93940	Jagd und Naturschutz
ZD 10000 - ZD 49000	Nutztierwissenschaften
ZD 10000 - ZD 10099	Allgemeines
ZD 10100 - ZD 10199	Kongresse, Symposien, Tagungen
ZD 10200	Serien, Schriftenreihen
ZD 10300	Gesamtdarstellungen, Lehrbücher, Nachschlagewerke
ZD 11000 - ZD 13900	Tierzucht
ZD 14000	Tierbeurteilung und Leistungsermittlung
ZD 14100	Exterieur. Morphologische Eigenschaften
ZD 14200	Physiologische Eigenschaften
ZD 14300 - ZD 14900	Leistungsmerkmale
ZD 15000 - ZD 15300	Tierschutz
ZD 15500	Nutztierökologie
ZD 16000 - ZD 16900	Tierhaltung
ZD 20000 - ZD 24600	Tierernährung und Futtermittelkunde
ZD 25000 - ZD 25500	Handel und Nutzung der Haustiere
ZD 26000	Tierhygiene
ZD 26050	Huf- und Klauenpflege
ZD 26100	Öffentliche Gesundheitspflege/ Quarantäne
ZD 26200	Tierverhalten/ Tierpsychologie
ZD 26300	Tiertransport
ZD 26400	Tierkadaverbeseitigung
ZD 27000 - ZD 27390	Tierheilkunde
ZD 28000	Versuchstierhaltung
ZD 30000 - ZD 37900	Nutztiere
ZD 38000 - ZD 43500	Fischereiwesen und Gewässerbewirtschaftung
ZD 44000 - ZD 45900	Imkerei und Insektenzucht
ZD 49000	Sonstige landwirtschaftliche Nutztiere
ZD 50000 - ZD 59000	Landbautechnik
ZD 50000 - ZD 50099	Allgemeines
ZD 50100 - ZD 50199	Kongresse,Tagungen, Symposien
ZD 50200	Serien, Schriftenreihen
ZD 50300	Gesamtdarstellungen, Lehrbücher, Nachschlagewerke
ZD 51000 - ZD 51099	Landwirtschaftliches Bauwesen
ZD 52000 - ZD 52099	Bautechnik
ZD 53000 - ZD 53099	Wohnbauten,  Bauernhof
ZD 54000 - ZD 54099	Heizung,  Lüftung
ZD 55000 - ZD 55099	Stallbauten, Stalleinrichtungen
ZD 56000 - ZD 56099	Gewächshäuser
ZD 57000 - ZD 57099	Gebäude für Nebengewerbe
ZD 58000 - ZD 58099	Lagerhallen und -gebäude
ZD 59000	Sonstiges
ZD 60000 - ZD 69900	Kulturtechnik
ZD 60000 - ZD 60099	Allgemeines
ZD 60100 - ZD 60199	Kongresse, Symposien, Tagungen
ZD 60200	Serien, Schriftenreihen
ZD 60300	Gesamtdarstellungen, Lehrbücher, Nachschlagewerke
ZD 61000 - ZD 61099	Urbarmachung, Kultivierung
ZD 61100 - ZD 61199	Rekultivierung, Renaturierung, Rehabilitierung von Standorten
ZD 61500 - ZD 61599	Ingenieurbiologische Bauweisen
ZD 62000 - ZD 62099	Landwirtschaftlicher Wegebau, Erdbau, Flurbereinigung
ZD 63000 - ZD 63099	Spezialkulturen
ZD 64000 - ZD 68099	Wasserwirtschaft
ZD 69000	Geodäsie, Vermessungswesen
ZD 69100	Fernerkundung
ZD 69200	Precision Agriculture
ZD 69900	Sonstiges
ZD 70000 - ZD 80000	Landwirtschaftliche Maschinen, Landtechnik
ZD 70000 - ZD 70099	Allgemeines
ZD 70100 - ZD 70199	Kongresse, Symposien, Tagungen
ZD 70200	Serien, Schriftenreihen
ZD 70300	Gesamtdarstellungen, Lehrbücher, Nachschlagewerke
ZD 71000 - ZD 71099	Geschichte der Landtechnik
ZD 72000 - ZD 72800	Maschinenkunde
ZD 73000 - ZD 73200	Energieversorgung in Landwirtschaft und Gartenbau
ZD 74000 - ZD 74900	Technik in der Pflanzenproduktion
ZD 75100	Teichbau, Teichbelüftung
ZD 75500	Spezielle Geräte in den Tropen und Subtropen
ZD 76000 - ZD 76900	Technik in der Tierproduktion
ZD 77000	Transport- und Fördermittel
ZD 78000	Trocknungsanlagen
ZD 80000	Agrarflug
ZE 10000 - ZE 39000	Agrarprodukte und Agrarrohstoffe
ZE 10000 - ZE 10099	Allgemeines
ZE 10100 - ZE 10199	Kongresse, Symposien, Tagungen
ZE 10200	Serien, Schriftenreihen
ZE 10500 - ZE 22500	Pflanzliche Produkte
ZE 23000 - ZE 28900	Tierische Produkte
ZE 29000 - ZE 29900	Genussmittel, Genussmittelindustrie
ZE 30000 - ZE 32600	Textil- und Bekleidungsindustrien
ZE 34000 - ZE 39000	Industrielle Verwertung landwirtschaftlicher Rohstoffe
ZE 40000 - ZE 68099	Ernährungswissenschaft
ZE 40000 - ZE 40099	Allgemeines
ZE 40100 - ZE 40199	Kongresse, Symposien, Tagungen
ZE 40200	Serien, Schriftenreihen
ZE 40300	Geschichte der Ernährung
ZE 40400	Veröffentlichungen von Gesellschaften und Vereinen
ZE 40500 - ZE 40599	Forschung
ZE 40600 - ZE 40699	Ausbildung, Studium
ZE 40700	Nachschlagewerke
ZE 40800	Gesamtdarstellungen, Lehrbücher
ZE 41000 - ZE 41300	Ernährungsphysiologie
ZE 42000 - ZE 42900	Diätetik
ZE 43000 - ZE 43099	Ernährungsweise, Ernährungsgewohnheiten und -sitten (regionale Ausprägung)
ZE 43100 - ZE 43900	Ernährung bestimmter Gruppen
ZE 44000 - ZE 44430	Bestandteile der Nahrung
ZE 45000 - ZE 45100	Ernährungserhebungen
ZE 45200	Ernährungspsychologie
ZE 45300	Umgang mit Verbraucherinformationen
ZE 45400	Ernährungssoziologie
ZE 45500	Ernährungsberatung
ZE 45600	Ernährungserziehung
ZE 46000	Lebensmittelhygiene
ZE 46500 - ZE 46950	Ernährungspathologie
ZE 47000 - ZE 49900	Ernährungspolitik, Ernährungswirtschaft
ZE 50000 - ZE 68099	Lebensmittel
ZE 70000 - ZE 89000	Haushaltswissenschaft
ZE 70000 - ZE 70099	Allgemeines
ZE 70100 - ZE 70199	Kongresse, Symposien, Tagungen
ZE 70200	Serien, Schriftenreihen
ZE 70250	Veröffentlichungen von Gesellschaften und Vereinen
ZE 70300	Nachschlagewerke
ZE 70350	Gesamtdarstellungen, Lehrbücher
ZE 70380	Geschichte der Haushaltswissenschaft
ZE 70400 - ZE 73500	Haushaltsökonomik
ZE 74000 - ZE 79500	Haushaltsführung
ZE 80000 - ZE 84500	Wohnkultur, Wohnökologie
ZE 85500 - ZE 87500	Kleidung
ZE 88000	Sonstige Gegenstände
ZE 89000	Körperpflege, Kosmetik
ZG - ZS	Technik
ZG	Technik allgemein
ZG 1000	Fortschrittsberichte und Referateorgane
ZG 1100	Zeitschriften
ZG 4000	Serien
ZG 4500	Fortgesetzte Kongressberichte
ZG 4900	Sonstige Kongressberichte
ZG 5000	Jahrbücher
ZG 6000	Berichte von Anstalten, Gesellschaften und Firmen
ZG 7000	Laufende Bibliografien
ZG 7050	Abgeschlossene Bibliografien
ZG 7060	Dissertationslisten
ZG 7070	Zeitschriftenbibliografien
ZG 7080	Bibliothekskataloge
ZG 7090	Verlags- und Buchhandelskataloge
ZG 7800	Biografische Lexika
ZG 7850	Biografiensammlungen
ZG 8000	Einzelbiografien, Memoiren
ZG 8100	Fest- und Gedenkschriften für Personen
ZG 8200	Fest- und Gedenkschriften für Institutionen
ZG 8300	Gesammelte Schriften einzelner Personen
ZG 8400	Amtliches Schrifttum (einschließlich Gesetze und Verordnungen)
ZG 8510	Adressbücher
ZG 8520	Abkürzungsverzeichnisse
ZG 8530	Fachwörterbücher einsprachig
ZG 8540	Fachwörterbücher mehrsprachig
ZG 8550	Enzyklopädien
ZG 8560	Handbücher
ZG 8570	Tabellenwerke
ZG 8580	Einführung in die Literaturbenutzung
ZG 8590	Formelsammlungen
ZG 8600	Allgemeine Darstellungen mit umfassender Thematik
ZG 8610	Darstellungen zu mehreren Teilgebieten
ZG 8620	Populäre Darstellungen mit umfassender Thematik
ZG 8630	Bildbände
ZG 8640	Beziehungen zu anderen Gebieten
ZG 8645	Technikfolgenabschätzung
ZG 8650	Technik der Zukunft; utopische Technik
ZG 8700 - ZG 8960	Technikgeschichte
ZG 9000 - ZG 9040	Technische Ausbildung
ZG 9050	Berufsfragen (Ingenieur, Techniker)
ZG 9055	Geschlechterforschung in den Ingenieurwissenschaften und der Technik
ZG 9060	Technische Forschung
ZG 9070	Forschungsanstalten; technische Vereine und Organisationen
ZG 9080	Technische Innovation; Technologietransfer
ZG 9085	Technische Beratung; Ingenieurbüros; Technische Unterlage, Pflichtenheft
ZG 9090	Arbeitswissenschaft
ZG 9100	Grundlagen, Hilfswissenschaften
ZG 9120	Technisches Rechnen
ZG 9140	Technisches Zeichnen
ZG 9142 - ZG 9148	Konstruktion
ZG 9150 - ZG 9176	Technische Normung
ZG 9180 - ZG 9186	Patentwesen
ZG 9190	Rechtsfragen zur Technik
ZG 9200	Wirtschaftsfragen
ZG 9210	Technische Unternehmen; Facility-Management
ZG 9220	Industrieplanung, Fabrikorganisation, Anlagenplanung
ZG 9225	Industrie 4.0
ZG 9230	Betriebsablauf und -organisation
ZG 9240	Betriebsschutz; Sicherung von Anlagen; Betriebsinstandhaltung
ZG 9260	Standardisierung, Qualitätskontrolle
ZG 9270	Technische Zuverlässigkeit
ZG 9280	Technische Überwachung; Gewerbeaufsicht
ZG 9285	Sicherheitstechnik; Arbeitsschutz; Schadenverhütung; Unfallforschung
ZG 9287	Sicherheitstechnik in verschiedenen Branchen (Bauwesen, Elektrotechnik u.a.)
ZG 9290	Katastrophenschutz; Luftschutz; Explosionsschutz; Zivilschutz (Brandschutz, Feuerwehrtechnik)
ZG 9300 - ZG 9399	Technik in einzelnen Ländern
ZG 9400	Kleinschrifttum
ZG 9410	Firmenschriften und Prospekte
ZH	Architektur
ZH 0001	Zeitschriften
ZH 1000	Fortschrittsberichte und Referateorgane
ZH 1100 - ZH 2200	Bibliografien, Sammelschriften, Biografien
ZH 2250 - ZH 2650	Nachschlagewerke
ZH 2700 - ZH 2780	Ausbildung, Beruf, Forschung
ZH 2800	Beziehungen zu anderen Fachgebieten
ZH 3000 - ZH 3950	Architekturpraxis
ZH 4000 - ZH 4680	Hochbau, Baukunstarten
ZH 4700 - ZH 4999	Baugeschichte
ZH 5000 - ZH 5960	Wohnungsbau
ZH 6000 - ZH 6410	Öffentliche Gebäude
ZH 6500 - ZH 6850	Wirtschaftsgebäude; gewerbliche Bauten allgemein
ZH 7000 - ZH 7985	Gebäude
ZH 8000 - ZH 8985	Innenarchitektur
ZH 9000 - ZH 9450	Raumplanung,Städtebau, Stadtplanung
ZH 9605 - ZH 9800	Landschaftsarchitektur/Landschaftsplanung
ZI	Bauingenieurwesen
ZI 0001	Zeitschriften
ZI 1000	Fortschrittsberichte und Referateorgane
ZI 1100 - ZI 2200	Bibliografien, Sammelschriften, Biografien
ZI 2250 - ZI 2650	Nachschlagewerke
ZI 2700 - ZI 2750	Ausbildung, Beruf, Forschung
ZI 2800	Beziehungen zu anderen Fachgebieten
ZI 2815	Populäre Darstellung
ZI 2850	Geschichte des Bauingenieurwesens
ZI 2860	Ingenieurbauwerke; Führer und Sammelwerke
ZI 3000 - ZI 3600	Baupraxis, Bauausführung
ZI 3700 - ZI 3970	Bauwirtschaft
ZI 4000 - ZI 4960	Bauphysik, Baustoffe, Bauschäden
ZI 5000 - ZI 5900	Bauberufe, Bauhandwerk
ZI 6000 - ZI 6350	Tiefbau
ZI 6400 - ZI 6410	Verkehrswegebau
ZI 6425 - ZI 6439	Straßen- und Wegebau
ZI 6440 - ZI 6480	Schienenbahnbau
ZI 6500 - ZI 6552	Tunnelbau, Stollenbau
ZI 6560 - ZI 6562	Flughafenbau
ZI 6600 - ZI 6695	Brückenbau
ZI 6700 - ZI 6889	Wasserbau, Wasserwirtschaft
ZI 6900 - ZI 6970	Ingenieur-Hochbau
ZI 7000 - ZI 7705	Bauweisen
ZI 8000 - ZI 8860	Haustechnik; technischer Ausbau; Versorgungstechnik
ZI 9000 - ZI 9800	Geodäsie, Vermessung
ZK	Bergbau und Hüttenwesen
ZK 0001	Zeitschriften
ZK 1000	Fortschrittsberichte und Referateorgane
ZK 1100 - ZK 2200	Bibliografien, Sammelschriften, Biografien
ZK 2250 - ZK 2650	Nachschlagewerke
ZK 2700 - ZK 2750	Ausbildung, Beruf, Forschung
ZK 2800	Beziehungen zu anderen Fachgebieten
ZK 2820	Allgemeine, zusammenfassende und übergreifende Darstellungen
ZK 2850	Populäre Darstellung
ZK 2900	Geschichte von Bergbau und Hüttenwesen
ZK 3000 - ZK 3790	Bergwesen
ZK 4000 - ZK 4800	Bergbaukunde
ZK 5000 - ZK 5970	Bergbaubereiche
ZK 6000 - ZK 6630	Aufbereitung
ZK 7000 - ZK 8600	Hüttenwesen
ZL	Maschinenbau
ZL 0001	Zeitschriften
ZL 1000	Fortschrittsberichte und Referateorgane
ZL 1100 - ZL 2200	Bibliografien, Sammelschriften, Biografien
ZL 2250 - ZL 2650	Nachschlagewerke
ZL 2700 - ZL 2750	Ausbildung, Beruf, Forschung
ZL 2800	Beziehungen zu anderen Fachgebieten
ZL 3000 - ZL 3180	Maschinenbau allgemein
ZL 3200 - ZL 3268	Maschinenkonstruktion
ZL 3300 - ZL 3700	Betrieb, Sicherheit, Wartung und Reparatur von Maschinen
ZL 3750 - ZL 3800	Tribologie
ZL 3900 - ZL 3950	Behälter
ZL 4000 - ZL 4700	Maschinenelemente
ZL 5000 - ZL 5950	Kraft- und Arbeitsmaschinen
ZL 6000 - ZL 6400	Werkzeugmaschinen
ZL 7100 - ZL 7800	Spezielle Arbeitsmaschinen
ZM	Werkstoffwissenschaften und Fertigungstechnik
ZM 0001	Zeitschriften
ZM 1000	Fortschrittsberichte und Referateorgane
ZM 1100 - ZM 2200	Bibliografien, Sammelschriften, Biografien
ZM 2250 - ZM 2650	Nachschlagewerke
ZM 2700 - ZM 2750	Ausbildung, Beruf, Forschung
ZM 2800	Beziehungen zu anderen Fachgebieten
ZM 2850	Populäre Darstellungen
ZM 3000 - ZM 3900	Werkstoffwissenschaft
ZM 4000 - ZM 4700	Metallkunde
ZM 5000 - ZM 5400	Kunststoffe und Polymere als Werkstoffe
ZM 6000 - ZM 6700	Nichtmetallisch-anorganische Werkstoffe
ZM 7000 - ZM 7090	Sonderwerkstoffe
ZM 7500 - ZM 7560	Korrosion
ZM 7600 - ZM 7690	Oberflächentechnik
ZM 8000 - ZM 8490	Fertigungsverfahren
ZM 9000 - ZM 9850	Fertigung
ZN	Elektrotechnik, Elektronik, Nachrichtentechnik
ZN 0001	Zeitschriften
ZN 1000	Fortschrittsberichte und Referateorgane
ZN 1100 - ZN 2200	Bibliografien, Sammelschriften, Biografien
ZN 2250 - ZN 2650	Nachschlagewerke
ZN 2700 - ZN 2750	Ausbildung, Beruf, Forschung
ZN 2800	Beziehungen zu anderen Fachgebieten
ZN 3000	Allgemeines; umfassende und übergreifende Darstellungen
ZN 3010	Reparaturanleitungen
ZN 3020	VDE-Bestimmungen
ZN 3030	Drehstrom
ZN 3040	Gleichstromlehre allgemein
ZN 3050	Wechselstromlehre allgemein
ZN 3060	Konstruktion in der Elektrotechnik
ZN 3070	Mathematische Methoden der Elektrotechnik
ZN 3080	Rechnergestützter Entwurf in der Elektrotechnik allgemein
ZN 3090	Zeichnungen und Darstellungen in der Elektrotechnik (Schaltzeichen, Symbole, Schaltpläne)
ZN 3100	populäre Darstellungen
ZN 3130	Geschichte der Elektrotechnik allgemein
ZN 3132	Geschichte der Starkstromtechnik und Elektroenergietechnik
ZN 3134	Geschichte der Elektronik und Mikroelektronik
ZN 3136	Geschichte der Kommunikationstechnik
ZN 3138	Geschichte anderer Teilgebiete der Elektrotechnik
ZN 3160	Hobbyelektronik; Selbstbau elektronischer Geräte
ZN 3180	Elektro- und Kommunikationsindustrie (incl. Fertigungs- und Produktionstechnologie)
ZN 3200 - ZN 3280	Theoretische Elektrotechnik
ZN 3400 - ZN 3480	Werkstoffe der Elektrotechnik und der Elektronik
ZN 3600 - ZN 3750	Elektromechanik und Mikromechanik
ZN 4000 - ZN 4090	Technische Elektronik
ZN 4100 - ZN 4194	Technologie elektronischer Funktionseinheiten
ZN 4200 - ZN 4270	Datenbücher zu Elektronischen Bauelementen
ZN 4300	Bauelemente der Elektrotechnik und Elektronik allgemein
ZN 4900 - ZN 4980	Integrierte Schaltungen. Mikroelektronik (IC; IS)
ZN 5000 - ZN 5160	Optoelektronik; Fotoelektronik
ZN 5200 - ZN 5260	Kryoelektronik
ZN 5300 - ZN 5860	Elektrische Netzwerke und Schaltungen
ZN 6000 - ZN 6570	Nachrichtentechnik; Telekommunikation
ZN 6800 - ZN 6880	Elektroakustik
ZN 8100 - ZN 8190	Starkstromtechnik. Elektrische Energietechnik und -erzeugung
ZN 8200 - ZN 8285	Elektrische Maschinen (Elektro-Motoren und Generatoren) und Antriebe
ZN 8300 - ZN 8360	Umformung elektrischer Energie
ZN 8400 - ZN 8480	Hochspannungstechnik
ZN 8500 - ZN 8660	Elektroenergiesysteme und -netze
ZN 8700 - ZN 8770	Technische Elektrochemie
ZN 8900 - ZN 8930	Elektrowärmetechnik
ZN 8950 - ZN 8970	Elektroinstallation; Elektrogeräte
ZN 8980 - ZN 8990	Lichttechnik
ZO	Verkehr, Transport
ZO 0001	Zeitschriften
ZO 1000	Fortschrittsberichte und Referateorgane
ZO 1100 - ZO 2200	Bibliografien, Sammelschriften, Biografien
ZO 2250 - ZO 2650	Nachschlagewerke
ZO 2700 - ZO 2750	Ausbildung, Beruf, Forschung
ZO 2800	Beziehungen zu anderen Fachgebieten
ZO 3000	Allgemeines; umfassende und übergreifende Darstellungen
ZO 3050	Geschichte des Verkehrswesens
ZO 3100	Verkehrsplanung, Verkehrskonzepte
ZO 3200	Verkehrsanlagen, Verkehrswege (Land-Luft-Wasser)
ZO 3300	Verkehrsmittel;  Verkehrsmittelwahl
ZO 3400	Verkehrsindustrie allgemein
ZO 3600	Verkehrswesen (Betrieb und Organisation)
ZO 3700	Verkehrssicherheit
ZO 3800	Nahverkehr
ZO 3850	Landverkehr
ZO 3900 - ZO 3999	Verkehr in einzelnen Ländern
ZO 4000 - ZO 4999	Straßenverkehr
ZO 5000 - ZO 5999	Schienenverkehr, Eisenbahnwesen
ZO 6000 - ZO 6999	Schifffahrt
ZO 7000 - ZO 7999	Luftfahrt
ZO 8000 - ZO 8900	Weltraumfahrt und Raketentechnik
ZO 9000 - ZO 9755	Transportwesen
ZP	Energietechnik
ZP 0001	Zeitschriften
ZP 1000	Fortschrittsberichte und Referateorgane
ZP 1100 - ZP 2200	Bibliografien, Sammelschriften, Biografien
ZP 2250 - ZP 2650	Nachschlagewerke
ZP 2700 - ZP 2750	Ausbildung, Beruf, Forschung
ZP 2800	Beziehungen zu anderen Fachgebieten
ZP 2900	Technisch-ökonomische Probleme der Energieerzeugung, -übertragung und Verteilung und Standortfragen bei Energiesystemen und -netzen
ZP 3000	Allgemeine, zusammenfassende und übergreifende Darstellungen zur Energietechnik
ZP 3050	Geschichte der Energietechnik
ZP 3100	Populäre Darstellungen der Energietechnik
ZP 3200 - ZP 4000	Energiegewinnung
ZP 4100 - ZP 4300	Energiespeicherung und Energiewandlung
ZP 4400	Energieeffizienz, Energieeinsparung, Energierückgewinnung
ZP 4450	Energiemanagement
ZP 4500 - ZP 4520	Zukünftige Energietechnik
ZP 4900 - ZP 4999	Energieversorgung einzelner Länder
ZQ	Automatisierungstechnik, Mechatronik
ZQ 0001	Zeitschriften
ZQ 1000	Fortschrittsberichte und Referateorgane
ZQ 1100 - ZQ 2200	Bibliografien, Sammelschriften, Biografien
ZQ 2250 - ZQ 2650	Nachschlagewerke
ZQ 2700 - ZQ 2750	Ausbildung, Beruf, Forschung
ZQ 2800	Beziehungen zu anderen Fachgebieten
ZQ 2850	Populäre Darstellungen
ZQ 2870	Normung
ZQ 2900	Geschichte der Mess-, Steuer- und Regelungstechnik; Automatisierungstechnik; Mechatronik
ZQ 2910	Geschichte der Messtechnik
ZQ 2920	Geschichte der Steuer- und Regelungstechnik
ZQ 3000	Allgemeine, zusammenfassende und übergreifende Darstellungen
ZQ 3030	Datenverarbeitungssysteme in der Mess-, Steuerungs- und Regelungstechnik
ZQ 3100 - ZQ 3190	Messtechnik
ZQ 3200 - ZQ 3599	Elektrische Messtechnik, Messung elektrischer Grössen
ZQ 3600 - ZQ 3999	Messung nichtelektrischer Größen
ZQ 4800 - ZQ 4848	Systemtheorie; Kybernetik
ZQ 5000 - ZQ 5090	Steuerungs- und Regelungstechnik
ZQ 5200 - ZQ 5390	Analyse und Synthese von Regelungssystemen
ZQ 5400 - ZQ 5530	Geräte und Bauelemente der Steuerungs- und Regelungstechnik
ZQ 5600 - ZQ 5670	Steuerung und Regelung einzelner physikalischer und chemischer Größen, Prozessführung
ZQ 5800 - ZQ 5895	Fernwirktechnik; Signal- und Sicherungsanlagen; Gebäudeleittechnik
ZQ 6000 - ZQ 6280	Automatisierungstechnik
ZQ 7000 - ZQ 7050	Mechatronik
ZQ 7500 - ZQ 7550	Adaptronik
ZQ 9900 - ZQ 9990	Anwendungen der Steuerungs-, Regelungs- und Automatisierungstechnik und Mechatronik
ZS	Handwerk, Feinwerktechnik, Holztechnik, Papiertechnik, Textiltechnik und sonstige Technik
ZS 0001	Zeitschriften
ZS 1000	Fortschrittsberichte und Referateorgane
ZS 1100 - ZS 2200	Bibliografien, Sammelschriften, Biografien
ZS 2250 - ZS 2650	Nachschlagewerke
ZS 2700 - ZS 2750	Ausbildung, Beruf; Forschung
ZS 2800	Beziehungen zu anderen Fachgebieten
ZS 3000	Allgemeine und zusammenfassende Darstellungen
ZS 3100	Populäre Darstellungen
ZS 3200	Geschichte allgemein
ZS 3210	Geschichte der metallverarbeitenden Technologien
ZS 3220	Geschichte der Feinwerktechnik und des feinmechanischen Gewerbes
ZS 3230	Geschichte der Holz-, Zellstoff- und Papiertechnologie
ZS 3240	Geschichte der Textiltechnik
ZS 3250	Geschichte der Technologien von Glas, Keramik, Steinen und Erden
ZS 3300 - ZS 3900	Metallverarbeitende Gewerbe
ZS 4000 - ZS 4800	Feinwerktechnik, feinmechanisches Gewerbe
ZS 5000 - ZS 5400	Holztechnik
ZS 5500 - ZS 5699	Papiertechnik
ZS 5700 - ZS 7500	Textiltechnik
ZS 7600 - ZS 8200	Weitere Technologien
